Start,End,Speaker,Start in s,End in s,Duration in s
0:00:08.276740,0:00:08.293718,SPEAKER_05,8.276740237691003,8.293718166383702,0.01697792869269854
0:00:08.293718,0:00:08.327674,SPEAKER_09,8.293718166383702,8.3276740237691,0.03395585738539886
0:00:08.327674,0:00:08.667233,SPEAKER_05,8.3276740237691,8.66723259762309,0.33955857385399035
0:00:08.667233,0:00:08.820034,SPEAKER_09,8.66723259762309,8.820033955857387,0.15280135823429575
0:00:08.820034,0:00:08.955857,SPEAKER_05,8.820033955857387,8.955857385398982,0.13582342954159543
0:00:08.955857,0:00:10.602716,SPEAKER_09,8.955857385398982,10.602716468590833,1.6468590831918508
0:00:10.891341,0:00:11.502547,SPEAKER_01,10.891341256366724,11.502546689303905,0.6112054329371812
0:00:12.028862,0:00:13.913413,SPEAKER_09,12.02886247877759,13.913412563667233,1.8845500848896428
0:00:14.202037,0:00:17.512733,SPEAKER_01,14.202037351443124,17.512733446519526,3.310696095076402
0:00:18.005093,0:00:18.022071,SPEAKER_04,18.00509337860781,18.022071307300507,0.016977928692696764
0:00:18.022071,0:00:19.991511,SPEAKER_01,18.022071307300507,19.99151103565365,1.9694397283531444
0:00:19.991511,0:00:23.556876,SPEAKER_04,19.99151103565365,23.556876061120548,3.565365025466896
0:00:23.556876,0:00:23.573854,SPEAKER_03,23.556876061120548,23.573853989813244,0.016977928692696764
0:00:23.998302,0:00:24.015280,SPEAKER_03,23.998302207130735,24.01528013582343,0.016977928692696764
0:00:24.168081,0:00:26.188455,SPEAKER_03,24.168081494057724,26.188455008488965,2.020373514431242
0:00:26.578947,0:00:33.828523,SPEAKER_10,26.578947368421055,33.82852292020374,7.249575551782684
0:00:34.422750,0:00:43.132428,SPEAKER_03,34.42275042444822,43.13242784380306,8.70967741935484
0:00:38.667233,0:00:38.820034,SPEAKER_10,38.66723259762309,38.82003395585738,0.1528013582342922
0:00:43.183362,0:00:46.307301,SPEAKER_10,43.183361629881155,46.307300509337864,3.123938879456709
0:00:47.122241,0:00:51.808149,SPEAKER_02,47.12224108658744,51.8081494057725,4.68590831918506
0:00:51.943973,0:00:53.370119,SPEAKER_02,51.94397283531409,53.37011884550085,1.4261460101867556
0:00:53.488964,0:00:54.779287,SPEAKER_04,53.488964346349746,54.77928692699491,1.2903225806451601
0:00:55.118846,0:01:06.256367,SPEAKER_04,55.1188455008489,66.25636672325976,11.13752122241086
0:01:06.443124,0:01:07.835314,SPEAKER_04,66.44312393887947,67.83531409168083,1.392190152801362
0:01:08.752122,0:01:15.152801,SPEAKER_03,68.7521222410866,75.15280135823429,6.400679117147689
