Start,End,Speaker,Start in s,End in s,Duration in s
0:00:06.544992,0:00:08.259762,SPEAKER_10,6.544991511035654,8.259762308998303,1.7147707979626485
0:00:09.991511,0:00:10.483871,SPEAKER_10,9.991511035653652,10.483870967741936,0.4923599320882843
0:00:14.405772,0:00:14.422750,SPEAKER_11,14.405772495755519,14.422750424448218,0.01697792869269854
0:00:14.439728,0:00:15.916808,SPEAKER_11,14.439728353140918,15.916808149405773,1.4770797962648547
0:00:15.509338,0:00:20.297114,SPEAKER_03,15.509337860780986,20.297113752122243,4.787775891341257
0:00:20.297114,0:00:24.439728,SPEAKER_05,20.297113752122243,24.43972835314092,4.142614601018678
0:00:24.541596,0:00:25.356537,SPEAKER_02,24.541595925297116,25.35653650254669,0.8149405772495726
0:00:25.560272,0:00:26.833616,SPEAKER_05,25.560271646859086,26.83361629881155,1.2733446519524634
0:00:26.833616,0:00:33.234295,SPEAKER_06,26.83361629881155,33.23429541595925,6.400679117147703
0:00:33.522920,0:00:36.001698,SPEAKER_08,33.52292020373515,36.00169779286927,2.4787775891341255
0:00:36.001698,0:00:44.507640,SPEAKER_02,36.00169779286927,44.507640067911716,8.505942275042443
0:00:45.033956,0:00:45.050934,SPEAKER_02,45.0339558573854,45.0509337860781,0.016977928692696764
0:00:45.050934,0:00:45.084890,SPEAKER_08,45.0509337860781,45.0848896434635,0.033955857385400634
0:00:45.084890,0:00:45.169779,SPEAKER_02,45.0848896434635,45.169779286926996,0.08488964346349803
0:00:45.169779,0:00:45.933786,SPEAKER_08,45.169779286926996,45.93378607809847,0.7640067911714752
0:00:45.933786,0:00:47.003396,SPEAKER_02,45.93378607809847,47.00339558573854,1.0696095076400667
0:00:47.003396,0:00:47.682513,SPEAKER_08,47.00339558573854,47.68251273344652,0.6791171477079843
0:00:48.208829,0:00:50.823430,SPEAKER_06,48.20882852292021,50.82342954159593,2.614601018675721
0:00:50.959253,0:00:51.417657,SPEAKER_06,50.95925297113752,51.41765704584041,0.4584040747028837
0:00:51.417657,0:00:54.507640,SPEAKER_07,51.41765704584041,54.507640067911716,3.0899830220713085
0:00:54.694397,0:01:02.691002,SPEAKER_12,54.69439728353141,62.69100169779287,7.996604414261462
0:01:03.064516,0:01:10.161290,SPEAKER_07,63.064516129032256,70.16129032258064,7.096774193548384
0:01:10.161290,0:01:11.281834,SPEAKER_12,70.16129032258064,71.28183361629883,1.1205432937181854
