Start,End,Speaker,Start in s,End in s,Duration in s
0:00:01.298812,0:00:09.040747,SPEAKER_01,1.298811544991511,9.04074702886248,7.741935483870969
0:00:09.193548,0:00:21.570458,SPEAKER_00,9.193548387096776,21.570458404074706,12.37691001697793
0:00:14.371817,0:00:14.575552,SPEAKER_01,14.37181663837012,14.575551782682513,0.20373514431239315
0:00:21.943973,0:00:27.648557,SPEAKER_01,21.943972835314092,27.64855687606112,5.704584040747029
0:00:27.784380,0:00:34.966044,SPEAKER_00,27.784380305602717,34.9660441426146,7.181663837011882
0:00:35.271647,0:00:44.202037,SPEAKER_00,35.27164685908319,44.202037351443124,8.930390492359933
0:00:36.969440,0:00:37.105263,SPEAKER_01,36.969439728353144,37.10526315789474,0.13582342954159543
0:00:44.473684,0:00:47.258065,SPEAKER_00,44.473684210526315,47.25806451612903,2.784380305602717
0:00:47.750424,0:00:52.758913,SPEAKER_00,47.750424448217316,52.758913412563665,5.008488964346348
0:00:53.200340,0:00:59.074703,SPEAKER_00,53.20033955857385,59.07470288624788,5.8743633276740255
0:00:58.106961,0:00:58.378608,SPEAKER_01,58.106960950764005,58.378607809847196,0.27164685908319086
0:00:59.821732,0:01:09.923599,SPEAKER_01,59.821731748726656,69.92359932088286,10.101867572156202
0:01:06.850594,0:01:07.122241,SPEAKER_00,66.85059422750425,67.12224108658745,0.27164685908320507
0:01:10.551783,0:01:10.942275,SPEAKER_00,70.55178268251274,70.94227504244483,0.39049235993209663
