Start;End;Speaker;Start in s;End in s;Duration in s
0:00:00.568761;0:00:02.011885;SPEAKER_01;0.5687606112054331;2.01188455008489;1.4431239388794568
0:00:02.011885;0:00:02.809847;SPEAKER_00;2.01188455008489;2.8098471986417657;0.7979626485568758
0:00:02.028862;0:00:02.181664;SPEAKER_01;2.0288624787775893;2.1816638370118846;0.1528013582342953
0:00:03.149406;0:00:06.697793;SPEAKER_01;3.1494057724957556;6.69779286926995;3.5483870967741944
0:00:08.395586;0:00:12.521222;SPEAKER_01;8.395585738539898;12.521222410865875;4.125636672325976
0:00:13.336163;0:00:15.067912;SPEAKER_01;13.33616298811545;15.0679117147708;1.7317487266553488
0:00:18.157895;0:00:21.859083;SPEAKER_01;18.15789473684211;21.859083191850594;3.7011884550084844
0:00:21.859083;0:00:24.558574;SPEAKER_00;21.859083191850594;24.558573853989813;2.699490662139219
0:00:24.422750;0:00:25.220713;SPEAKER_01;24.422750424448218;25.220713073005093;0.7979626485568758
0:00:25.424448;0:00:33.047538;SPEAKER_00;25.42444821731749;33.04753820033956;7.623089983022069
0:00:33.217317;0:00:38.039049;SPEAKER_01;33.217317487266556;38.03904923599321;4.8217317487266556
0:00:38.514431;0:00:41.587436;SPEAKER_01;38.51443123938879;41.5874363327674;3.0730050933786117
0:00:41.791171;0:00:51.791171;SPEAKER_01;41.7911714770798;51.7911714770798;10.0
0:00:51.910017;0:01:05.441426;SPEAKER_00;51.91001697792869;65.4414261460102;13.53140916808151
0:01:05.848896;0:01:12.809847;SPEAKER_01;65.84889643463498;72.80984719864176;6.960950764006782
0:01:12.945671;0:01:23.896435;SPEAKER_00;72.94567062818336;83.89643463497453;10.950764006791161
0:01:25.509338;0:01:35.424448;SPEAKER_01;85.50933786078099;95.42444821731749;9.915110356536502
0:01:29.906621;0:01:30.263158;SPEAKER_00;89.90662139219015;90.26315789473685;0.3565365025467031
0:01:36.086587;0:01:38.395586;SPEAKER_01;96.08658743633276;98.39558573853989;2.3089983022071294
0:01:39.295416;0:01:52.657046;SPEAKER_00;99.29541595925298;112.65704584040748;13.3616298811545
0:01:52.741935;0:01:55.101868;SPEAKER_01;112.74193548387098;115.10186757215621;2.359932088285234
